Word,Count
/,390
the,178
of,111
</summary>,93
<summary>,93
<param,74
to,62
a,59
this,56
in,49
for,45
array,41
per,39
pixel,39
bit,35
an,34
which,34
and,31
pixels,30
color,28
as,24
values,24
from,23
that,21
ARGB,21
palette,21
is,21
bits,20
assembly,20
bitmap,19
all,18
default,17
colors,17
if,17
or,16
32-bit,16
A,16
number,15
==,15
files,15
integers,15
file,14
The,13
bytes,13
image,13
may,13
by,12
Version,12
size,12
byte,12
following,12
represent,12
method.</param>,11
Contains,11
cancel,11
depth,11
BackgroundWorker,11
receives,11
reports,11
\name="\worker"\>A\,11
mode,11
progress,11
with,10
not,10
\name="\e"\>Arguments\,10
handler.</param>,10
\name="\sender"\>The\,10
invoked,10
event.</param>,10
each,10
object,10
event,10
desired,9
set,9
grayscale,9
<see,9
you,9
use,9
be,9
can,8
COM,8
method,8
Revision,8
made,8
ComVisible,8
attribute,8
information,8
modify,8
type,8
Build,8
Required,8
code,8
resources,8
class,7
\name="\bytes"\>The\,7
uses,7
RGB,7
source,7
<returns>An,7
<returns>A,7
containing,7
used,7
into,6
bytes.</param>,6
will,6
value,6
using,6
up,6
If,6
Generates,6
32,6
image.</returns>,6
4,6
16,6
8,6
bitmap.</param>,6
Creates,6
24,6
bit.</param>,6
describing,6
\name="\palette"\>A\,6
four,5
\palette,\,5
certain,5
mapped,5
2,5
Converts,5
paths,5
false,5
project,5
images,5
modes,5
on,5
'*',4
Information,4
TODO:,4
typelib,4
generated,4
true,4
controlled,4
Setting,4
1,4
\otherwise,\,4
Minor,4
need,4
values:,4
list,4
\AssemblyVersion("\1.0.*"\)]\,4
\name="\disposing"\>true\,4
Major,4
Sets,4
visible,4
attributes,4
consists,4
there,4
associated,4
Clean,4
types,4
these,4
variable,4
managed,4
\COM,\,4
any,4
disposed;,4
components,4
all-bits-zero,4
GUID,4
Gets,4
do,4
exposed,4
editor,4
was,4
through,4
[assembly:,4
height,4
contents,4
You,4
Designer,4
------------------------------------------------------------------------------,4
at,4
being,4
below:,4
<returns>The,4
specify,4
designer,4
Initializes,4
makes,4
Number,4
should,4
-,4
Numbers,4
General,4
shown,4
An,4
Change,4
about,4
array.</returns>,4
access,4
support,4
Draws,4
Returns,4
false.</param>,4
resulting,4
ID,4
enough,3
\bitmap,\,3
Pass,3
tool,3
many,3
given,3
\name="\bitmap"\>The\,3
some,3
input,3
8bpp,3
resource,3
remaining,3
width,3
maps,3
<remarks>Each,3
group,3
Step,3
\name="\bitDepth"\>The\,3
00000000_2,3
00000000,3
paletted,3
null,3
integer,3
bytes.</remarks>,3
expands,3
sizes,3
\name="\palette"\>The\,3
This,3
,3
are,3
fill,3
<paramref,3
Changes,3
instance,3
palettes,3
RadioPaletted,2
Version:4.0.30319.34014,2
\modes,\,2
palette),2
image's,2
</auto-generated>,2
two,2
has,2
unique,2
RadioRGB,2
(in,2
pixel.</param>,2
low-BPP,2
smallest,2
than,2
draw,2
behavior,2
\name="\imageSize"\>The\,2
\pixel,\,2
provided,2
label,2
along,2
\name="\source"\>The\,2
\red,\,2
same,2
depths,2
00000011_2,2
least,2
contains,2
array.</param>,2
StaticLabelBitDepth,2
regenerated,2
add,2
dun,2
PaletteEditorForm,2
actual,2
incorrect,2
Worker,2
<remarks>If,2
every,2
new,2
bitmap.</returns>,2
RadioGrayscale,2
selected,2
one,2
ResGen,2
your,2
Runtime,2
main,2
\size,\,2
Validates,2
4bpp,2
palette.</param>,2
bitmapped,2
immutable,2
RadioARGB,2
11100000_2,2
RGBA,2
arrays,2
only,2
\cref="\LabelImageData"\/>\,2
lost,2
bitmaps,2
updates,2
supported,2
enumeration,2
blue,2
Progress,2
\order,\,2
out,2
<auto-generated>,2
cause,2
expected,2
\name="\pixels"\>The\,2
edit,2
\green,\,2
StaticLabelColorMode,2
form,2
16bpp,2
order,2
determined,2
0x03,2
placeholder,2
pixels.</param>,2
channels,2
first,2
