File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\DefaultPalettes.cs,238,152,95,23,28,17,58,341,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Drawer.cs,595,389,236,90,63,3,143,1371,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Enums.cs,84,23,3,0,14,1,47,217,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\FileSource.cs,90,53,30,6,12,1,25,132,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\LargeFileProcessorForm.cs,482,346,235,33,53,4,83,470,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\LargeFileProcessorForm.Designer.cs,449,330,312,1,6,0,113,88,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\MainForm.cs,366,329,202,38,35,1,2,12,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\MainForm.Designer.cs,407,303,271,1,6,0,98,83,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\PaletteEditorForm.cs,25,20,13,0,3,1,2,11,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\PaletteEditorForm.Designer.cs,47,27,15,1,6,0,14,55,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Program.cs,37,26,15,1,4,0,7,74,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\RawImageSizeForm.cs,53,48,28,4,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\RawImageSizeForm.Designer.cs,139,98,86,1,6,0,35,62,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\bin\Debug\results.sqlite,634,626,0,0,8,4,0,102,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Properties\AssemblyInfo.cs,42,20,5,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting\Program.cs,22,20,12,1,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\Celarix.Drawing\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1\DefaultPalettesTests.cs,15,13,5,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
