Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,22,3939,2926,1594,204,288,34,725,3647,0,9
C:\Users\Chris\Documents\GitHub\ByteView,22,3939,2926,1594,204,288,34,725,3647,0,9
C:\Users\Chris\Documents\GitHub\ByteView\ByteView,22,3939,2926,1594,204,288,34,725,3647,0,9
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView,17,3791,2848,1568,203,269,34,674,3287,0,9
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting,2,59,35,15,1,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteViewTesting\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\Properties,3,145,78,27,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\bin,1,634,626,0,0,8,4,0,102,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\bin\Debug,1,634,626,0,0,8,4,0,102,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\ByteView\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\Celarix.Drawing,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\Celarix.Drawing\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\Celarix.Drawing\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\Celarix.Drawing\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1,2,52,28,8,0,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\ByteView\ByteView\UnitTestProject1\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
